model,task,pair,correct_to_incorrect,incorrect_to_correct,no_change,baseline_accuracy,comparison_accuracy,count
palm-2-chat,math-count-prob,zero-shot-cot-null-shot-cot,10,17,447,4.219409282700422,5.69620253164557,474
palm-2-chat,math-pre-calc,zero-shot-null-shot,8,23,515,3.296703296703297,6.043956043956044,546
palm-2-chat,math-pre-calc,zero-shot-cot-null-shot-cot,10,11,525,3.296703296703297,3.47985347985348,546
claude-3-opus,math-number,zero-shot-null-shot,83,56,401,67.4074074074074,62.40740740740741,540
claude-3-opus,math-number,zero-shot-cot-null-shot-cot,62,57,421,66.11111111111111,65.0,540
claude-3-opus,math-algebra,zero-shot-null-shot,95,74,1018,75.14743049705139,73.37826453243471,1187
claude-3-opus,math-algebra,zero-shot-cot-null-shot-cot,77,67,1043,74.97893850042124,74.13647851727043,1187
claude-3-opus,anli,zero-shot-null-shot,124,49,1027,60.66666666666667,54.41666666666667,1200
claude-3-opus,anli,zero-shot-cot-null-shot-cot,160,184,856,57.08333333333333,59.08333333333333,1200
claude-3-opus,triviaqa,zero-shot-null-shot,645,0,355,85.2,20.7,1000
claude-3-opus,triviaqa,zero-shot-cot-null-shot-cot,208,9,783,85.5,65.60000000000001,1000
claude-3-opus,halueval-summarization,zero-shot-null-shot,327,329,9344,68.30000000000001,68.33,10000
claude-3-opus,race-m,zero-shot-null-shot,115,173,1148,77.64623955431756,81.68523676880223,1436
claude-3-opus,race-m,zero-shot-cot-null-shot-cot,148,88,1200,85.44568245125348,81.2674094707521,1436
claude-3-opus,strategyqa,zero-shot-null-shot,1497,29,764,69.03930131004367,4.934497816593886,2290
claude-3-opus,strategyqa,zero-shot-cot-null-shot-cot,948,120,1222,63.1004366812227,26.94323144104803,2290
claude-3-opus,winogrande,zero-shot-null-shot,892,1,374,70.95501183898973,0.6314127861089187,1267
claude-3-opus,winogrande,zero-shot-cot-null-shot-cot,497,101,669,60.29992107340174,29.04498816101026,1267
claude-3-opus,math-pre-algebra,zero-shot-null-shot,59,47,765,73.59357060849598,72.2158438576349,871
claude-3-opus,math-pre-algebra,zero-shot-cot-null-shot-cot,41,53,777,74.28243398392652,75.6601607347876,871
claude-3-opus,math-int-algebra,zero-shot-null-shot,75,84,744,30.89700996677741,32.00442967884828,903
claude-3-opus,math-int-algebra,zero-shot-cot-null-shot-cot,85,88,730,32.22591362126246,32.55813953488372,903
claude-3-opus,gsm8k,zero-shot-null-shot,237,22,1060,72.47915087187263,56.10310841546627,1319
claude-3-opus,gsm8k,zero-shot-cot-null-shot-cot,44,35,1240,70.28051554207732,69.52236542835482,1319
claude-3-opus,aqua,zero-shot-null-shot,54,23,177,68.50393700787401,56.2992125984252,254
claude-3-opus,aqua,zero-shot-cot-null-shot-cot,46,30,178,63.77952755905512,57.48031496062992,254
claude-3-opus,halueval-qa,zero-shot-null-shot,942,1006,8052,65.9,66.53999999999999,10000
claude-3-opus,race-h,zero-shot-null-shot,306,489,2703,67.00971983990853,72.29845626072041,3498
claude-3-opus,race-h,zero-shot-cot-null-shot-cot,572,340,2586,77.50142938822184,70.89765580331618,3498
claude-3-opus,halueval-general,zero-shot-null-shot,42,28,4437,81.58420235189705,81.27357443976038,4507
claude-3-opus,halueval-dialogue,zero-shot-null-shot,1979,1447,6574,68.32000000000001,62.96000000000001,10000
claude-3-opus,math-geometry,zero-shot-null-shot,54,38,387,45.72025052192067,42.379958246346554,479
claude-3-opus,math-geometry,zero-shot-cot-null-shot-cot,36,42,401,43.21503131524008,44.46764091858037,479
claude-3-opus,math-count-prob,zero-shot-null-shot,61,34,379,55.907172995780584,50.210970464135016,474
claude-3-opus,math-count-prob,zero-shot-cot-null-shot-cot,31,37,406,52.742616033755276,54.008438818565395,474
claude-3-opus,math-pre-calc,zero-shot-null-shot,56,45,445,34.98168498168498,32.967032967032964,546
claude-3-opus,math-pre-calc,zero-shot-cot-null-shot-cot,46,43,457,35.8974358974359,35.34798534798535,546
claude-2.1,math-number,zero-shot-null-shot,61,51,428,23.703703703703706,21.85185185185185,540
claude-2.1,math-number,zero-shot-cot-null-shot-cot,48,62,430,24.074074074074073,26.666666666666668,540
claude-2.1,math-algebra,zero-shot-null-shot,141,102,944,44.06065711878686,40.77506318449874,1187
claude-2.1,math-algebra,zero-shot-cot-null-shot-cot,119,120,948,41.61752316764954,41.70176916596461,1187
claude-2.1,anli,zero-shot-null-shot,236,150,814,33.58333333333333,26.416666666666664,1200
claude-2.1,anli,zero-shot-cot-null-shot-cot,246,165,789,39.666666666666664,32.916666666666664,1200
claude-2.1,triviaqa,zero-shot-null-shot,535,2,463,73.4,20.0,1000
claude-2.1,triviaqa,zero-shot-cot-null-shot-cot,326,10,664,75.9,44.3,1000
claude-2.1,halueval-summarization,zero-shot-null-shot,1446,1040,7514,53.39,49.33,10000
claude-2.1,race-m,zero-shot-null-shot,269,262,905,50.0,49.5125348189415,1436
claude-2.1,race-m,zero-shot-cot-null-shot-cot,263,316,857,46.16991643454039,49.86072423398329,1436
claude-2.1,strategyqa,zero-shot-null-shot,801,145,1344,40.43668122270742,11.790393013100436,2290
claude-2.1,strategyqa,zero-shot-cot-null-shot-cot,664,151,1475,43.97379912663755,21.572052401746724,2290
claude-2.1,winogrande,zero-shot-null-shot,27,2,1238,2.209944751381215,0.23677979479084454,1267
claude-2.1,winogrande,zero-shot-cot-null-shot-cot,162,10,1095,13.654301499605367,1.6574585635359116,1267
claude-2.1,math-pre-algebra,zero-shot-null-shot,98,62,711,48.450057405281285,44.31687715269805,871
claude-2.1,math-pre-algebra,zero-shot-cot-null-shot-cot,89,113,669,47.53157290470723,50.28702640642939,871
claude-2.1,math-int-algebra,zero-shot-null-shot,56,57,790,12.513842746400886,12.624584717607974,903
claude-2.1,math-int-algebra,zero-shot-cot-null-shot-cot,63,54,786,13.178294573643413,12.181616832779623,903
claude-2.1,gsm8k,zero-shot-null-shot,247,49,1023,78.92342683851402,63.91205458680819,1319
claude-2.1,gsm8k,zero-shot-cot-null-shot-cot,108,74,1137,78.24109173616375,75.66338134950719,1319
claude-2.1,aqua,zero-shot-null-shot,45,26,183,64.96062992125984,57.48031496062992,254
claude-2.1,aqua,zero-shot-cot-null-shot-cot,30,26,198,64.56692913385827,62.99212598425197,254
claude-2.1,halueval-qa,zero-shot-null-shot,1111,507,8382,45.300000000000004,39.26,10000
claude-2.1,race-h,zero-shot-null-shot,605,646,2247,39.87993138936535,41.05202973127501,3498
claude-2.1,race-h,zero-shot-cot-null-shot-cot,671,661,2166,37.67867352773013,37.42138364779874,3498
claude-2.1,halueval-general,zero-shot-null-shot,32,25,4450,81.36232527179942,81.20701131573108,4507
claude-2.1,halueval-dialogue,zero-shot-null-shot,1024,368,8608,61.68,55.120000000000005,10000
claude-2.1,math-geometry,zero-shot-null-shot,40,33,406,22.964509394572026,21.50313152400835,479
claude-2.1,math-geometry,zero-shot-cot-null-shot-cot,37,46,396,20.041753653444676,21.920668058455114,479
claude-2.1,math-count-prob,zero-shot-null-shot,40,36,398,22.151898734177212,21.308016877637133,474
claude-2.1,math-count-prob,zero-shot-cot-null-shot-cot,40,41,393,21.940928270042196,22.151898734177212,474
claude-2.1,math-pre-calc,zero-shot-null-shot,28,36,482,13.186813186813188,14.652014652014653,546
claude-2.1,math-pre-calc,zero-shot-cot-null-shot-cot,30,39,477,15.567765567765568,17.216117216117215,546
palm-2-text,math-number,zero-shot-null-shot,10,9,521,11.851851851851853,11.666666666666666,540
palm-2-text,math-number,zero-shot-cot-null-shot-cot,11,10,519,10.555555555555555,10.37037037037037,540
palm-2-text,math-algebra,zero-shot-null-shot,24,17,1146,16.849199663016005,16.259477674810448,1187
palm-2-text,math-algebra,zero-shot-cot-null-shot-cot,44,41,1102,16.849199663016005,16.596461668070766,1187
palm-2-text,anli,zero-shot-null-shot,29,45,1126,49.166666666666664,50.5,1200
palm-2-text,anli,zero-shot-cot-null-shot-cot,31,26,1143,49.166666666666664,48.75,1200
palm-2-text,triviaqa,zero-shot-null-shot,25,70,905,64.2,68.7,1000
palm-2-text,triviaqa,zero-shot-cot-null-shot-cot,72,42,886,66.7,63.7,1000
palm-2-text,halueval-summarization,zero-shot-null-shot,180,497,9323,37.61,40.78,10000
palm-2-text,race-m,zero-shot-null-shot,20,42,1374,82.66016713091922,84.19220055710306,1436
palm-2-text,race-m,zero-shot-cot-null-shot-cot,19,184,1233,71.03064066852369,82.52089136490251,1436
palm-2-text,strategyqa,zero-shot-null-shot,82,232,1976,59.82532751091703,66.37554585152839,2290
palm-2-text,strategyqa,zero-shot-cot-null-shot-cot,288,211,1791,62.70742358078603,59.34497816593887,2290
palm-2-text,winogrande,zero-shot-null-shot,45,138,1084,72.69139700078927,80.03157063930544,1267
palm-2-text,winogrande,zero-shot-cot-null-shot-cot,59,212,996,63.93054459352802,76.00631412786109,1267
palm-2-text,math-pre-algebra,zero-shot-null-shot,22,18,831,17.68082663605052,17.221584385763492,871
palm-2-text,math-pre-algebra,zero-shot-cot-null-shot-cot,57,29,785,20.55109070034443,17.336394948335247,871
palm-2-text,math-int-algebra,zero-shot-null-shot,8,13,882,11.295681063122924,11.84939091915836,903
palm-2-text,math-int-algebra,zero-shot-cot-null-shot-cot,10,16,877,10.409745293466225,11.074197120708748,903
palm-2-text,gsm8k,zero-shot-null-shot,23,45,1251,14.783927217589083,16.45185746777862,1319
palm-2-text,gsm8k,zero-shot-cot-null-shot-cot,302,82,935,60.19711902956786,43.51781652767248,1319
palm-2-text,aqua,zero-shot-null-shot,14,12,228,29.133858267716533,28.346456692913385,254
palm-2-text,aqua,zero-shot-cot-null-shot-cot,60,11,183,35.43307086614173,16.141732283464567,254
palm-2-text,halueval-qa,zero-shot-null-shot,439,498,9063,61.46,62.07,10000
palm-2-text,race-h,zero-shot-null-shot,81,172,3245,71.55517438536306,74.15666094911379,3498
palm-2-text,race-h,zero-shot-cot-null-shot-cot,72,496,2930,60.12006861063465,72.24128073184677,3498
palm-2-text,halueval-general,zero-shot-null-shot,52,109,4346,76.85822054581762,78.10073219436433,4507
palm-2-text,halueval-dialogue,zero-shot-null-shot,140,275,9585,66.14,67.62,10000
palm-2-text,math-geometry,zero-shot-null-shot,8,5,466,14.19624217118998,13.569937369519833,479
palm-2-text,math-geometry,zero-shot-cot-null-shot-cot,7,14,458,11.691022964509393,13.152400835073069,479
palm-2-text,math-count-prob,zero-shot-null-shot,10,1,463,12.869198312236287,10.970464135021098,474
palm-2-text,math-count-prob,zero-shot-cot-null-shot-cot,8,11,455,12.447257383966246,13.080168776371309,474
palm-2-text,math-pre-calc,zero-shot-null-shot,5,5,536,12.454212454212454,12.454212454212454,546
palm-2-text,math-pre-calc,zero-shot-cot-null-shot-cot,10,8,528,12.454212454212454,12.087912087912088,546
claude-3-haiku,math-number,zero-shot-null-shot,53,63,424,32.22222222222222,34.074074074074076,540
claude-3-haiku,math-number,zero-shot-cot-null-shot-cot,59,64,417,34.074074074074076,35.0,540
claude-3-haiku,math-algebra,zero-shot-null-shot,116,109,962,48.35720303285594,47.76748104465038,1187
claude-3-haiku,math-algebra,zero-shot-cot-null-shot-cot,98,92,997,49.11541701769166,48.60994102780118,1187
claude-3-haiku,anli,zero-shot-null-shot,122,240,838,28.583333333333332,38.416666666666664,1200
claude-3-haiku,anli,zero-shot-cot-null-shot-cot,199,184,817,31.583333333333336,30.333333333333336,1200
claude-3-haiku,triviaqa,zero-shot-null-shot,148,8,844,78.5,64.5,1000
claude-3-haiku,triviaqa,zero-shot-cot-null-shot-cot,146,26,828,77.0,65.0,1000
claude-3-haiku,halueval-summarization,zero-shot-null-shot,788,1103,8109,50.39,53.54,10000
claude-3-haiku,race-m,zero-shot-null-shot,222,120,1094,75.90529247910864,68.80222841225627,1436
claude-3-haiku,race-m,zero-shot-cot-null-shot-cot,153,442,841,45.26462395543175,65.3899721448468,1436
claude-3-haiku,strategyqa,zero-shot-null-shot,591,255,1444,43.7117903930131,29.03930131004367,2290
claude-3-haiku,strategyqa,zero-shot-cot-null-shot-cot,421,410,1459,28.864628820960696,28.38427947598253,2290
claude-3-haiku,winogrande,zero-shot-null-shot,310,54,903,60.53670086819258,40.331491712707184,1267
claude-3-haiku,winogrande,zero-shot-cot-null-shot-cot,404,119,744,45.54064719810576,23.04656669297553,1267
claude-3-haiku,math-pre-algebra,zero-shot-null-shot,87,63,721,55.797933409873714,53.04247990815155,871
claude-3-haiku,math-pre-algebra,zero-shot-cot-null-shot-cot,69,59,743,57.175660160734786,56.027554535017224,871
claude-3-haiku,math-int-algebra,zero-shot-null-shot,57,61,785,14.728682170542637,15.171650055370986,903
claude-3-haiku,math-int-algebra,zero-shot-cot-null-shot-cot,61,39,803,15.725359911406422,13.2890365448505,903
claude-3-haiku,gsm8k,zero-shot-null-shot,68,45,1206,68.00606520090979,66.26231993934799,1319
claude-3-haiku,gsm8k,zero-shot-cot-null-shot-cot,80,62,1177,68.68840030326004,67.32373009855952,1319
claude-3-haiku,aqua,zero-shot-null-shot,35,23,196,63.38582677165354,58.661417322834644,254
claude-3-haiku,aqua,zero-shot-cot-null-shot-cot,31,26,197,62.99212598425197,61.023622047244096,254
claude-3-haiku,halueval-qa,zero-shot-null-shot,882,655,8463,60.68,58.41,10000
claude-3-haiku,race-h,zero-shot-null-shot,565,384,2549,59.062321326472265,53.887935963407664,3498
claude-3-haiku,race-h,zero-shot-cot-null-shot-cot,358,866,2274,39.87993138936535,54.40251572327044,3498
claude-3-haiku,halueval-general,zero-shot-null-shot,58,24,4425,80.47481695140893,79.72043487907699,4507
claude-3-haiku,halueval-dialogue,zero-shot-null-shot,346,483,9171,67.04,68.41000000000001,10000
claude-3-haiku,math-geometry,zero-shot-null-shot,40,34,405,25.887265135699373,24.63465553235908,479
claude-3-haiku,math-geometry,zero-shot-cot-null-shot-cot,34,45,400,22.546972860125262,24.843423799582464,479
claude-3-haiku,math-count-prob,zero-shot-null-shot,40,43,391,27.004219409282697,27.637130801687764,474
claude-3-haiku,math-count-prob,zero-shot-cot-null-shot-cot,41,33,400,29.11392405063291,27.42616033755274,474
claude-3-haiku,math-pre-calc,zero-shot-null-shot,29,33,484,18.864468864468865,19.5970695970696,546
claude-3-haiku,math-pre-calc,zero-shot-cot-null-shot-cot,28,47,471,18.13186813186813,21.611721611721613,546
gemini-pro-text,math-number,zero-shot-null-shot,6,6,528,16.11111111111111,16.11111111111111,540
gemini-pro-text,math-number,zero-shot-cot-null-shot-cot,39,56,445,16.666666666666664,19.814814814814817,540
gemini-pro-text,math-algebra,zero-shot-null-shot,44,68,1075,24.93681550126369,26.95871946082561,1187
gemini-pro-text,math-algebra,zero-shot-cot-null-shot-cot,80,194,913,33.36141533277169,42.96545914069082,1187
gemini-pro-text,anli,zero-shot-null-shot,74,87,1039,50.583333333333336,51.66666666666667,1200
gemini-pro-text,anli,zero-shot-cot-null-shot-cot,97,56,1047,48.333333333333336,44.916666666666664,1200
gemini-pro-text,triviaqa,zero-shot-null-shot,462,13,525,70.19999999999999,25.3,1000
gemini-pro-text,triviaqa,zero-shot-cot-null-shot-cot,613,6,381,61.6,0.8999999999999999,1000
gemini-pro-text,halueval-summarization,zero-shot-null-shot,71,58,9871,65.53999999999999,65.41,10000
gemini-pro-text,race-m,zero-shot-null-shot,27,50,1359,83.008356545961,84.6100278551532,1436
gemini-pro-text,race-m,zero-shot-cot-null-shot-cot,78,42,1316,83.14763231197772,80.64066852367688,1436
gemini-pro-text,strategyqa,zero-shot-null-shot,483,108,1699,67.03056768558952,50.65502183406113,2290
gemini-pro-text,strategyqa,zero-shot-cot-null-shot-cot,1497,0,793,66.41921397379913,1.0480349344978166,2290
gemini-pro-text,winogrande,zero-shot-null-shot,99,88,1080,63.85161799526441,62.98342541436463,1267
gemini-pro-text,winogrande,zero-shot-cot-null-shot-cot,793,0,474,62.82557221783741,0.23677979479084454,1267
gemini-pro-text,math-pre-algebra,zero-shot-null-shot,18,44,809,31.917336394948336,34.902411021814004,871
gemini-pro-text,math-pre-algebra,zero-shot-cot-null-shot-cot,50,123,698,39.60964408725603,47.99081515499426,871
gemini-pro-text,math-int-algebra,zero-shot-null-shot,24,18,861,14.839424141749724,14.174972314507198,903
gemini-pro-text,math-int-algebra,zero-shot-cot-null-shot-cot,54,45,804,14.06423034330011,13.067552602436322,903
gemini-pro-text,gsm8k,zero-shot-null-shot,118,315,886,51.554207733131165,66.48976497346474,1319
gemini-pro-text,gsm8k,zero-shot-cot-null-shot-cot,184,93,1042,69.0674753601213,62.1683093252464,1319
gemini-pro-text,aqua,zero-shot-null-shot,26,51,177,25.590551181102363,35.43307086614173,254
gemini-pro-text,aqua,zero-shot-cot-null-shot-cot,38,48,168,46.45669291338583,50.39370078740157,254
gemini-pro-text,halueval-qa,zero-shot-null-shot,92,184,9724,62.53999999999999,63.46000000000001,10000
gemini-pro-text,race-h,zero-shot-null-shot,93,151,3254,77.81589479702687,79.4739851343625,3498
gemini-pro-text,race-h,zero-shot-cot-null-shot-cot,121,92,3285,78.47341337907375,77.64436821040594,3498
gemini-pro-text,halueval-general,zero-shot-null-shot,4,6,4497,81.73951630796539,81.78389172398491,4507
gemini-pro-text,halueval-dialogue,zero-shot-null-shot,108,130,9762,77.72,77.94,10000
gemini-pro-text,math-geometry,zero-shot-null-shot,10,15,454,18.789144050104383,19.832985386221296,479
gemini-pro-text,math-geometry,zero-shot-cot-null-shot-cot,25,38,416,19.624217118997915,22.338204592901878,479
gemini-pro-text,math-count-prob,zero-shot-null-shot,6,9,459,16.244725738396625,16.877637130801688,474
gemini-pro-text,math-count-prob,zero-shot-cot-null-shot-cot,19,37,418,17.932489451476794,21.729957805907173,474
gemini-pro-text,math-pre-calc,zero-shot-null-shot,23,16,507,19.413919413919416,18.13186813186813,546
gemini-pro-text,math-pre-calc,zero-shot-cot-null-shot-cot,27,30,489,17.399267399267398,17.94871794871795,546
gpt-4-turbo,math-number,zero-shot-null-shot,54,51,435,61.66666666666667,61.111111111111114,540
gpt-4-turbo,math-number,zero-shot-cot-null-shot-cot,59,55,426,63.70370370370371,62.96296296296296,540
gpt-4-turbo,math-algebra,zero-shot-null-shot,117,72,998,70.8508845829823,67.0598146588037,1187
gpt-4-turbo,math-algebra,zero-shot-cot-null-shot-cot,75,88,1024,70.26116259477675,71.35636057287279,1187
gpt-4-turbo,anli,zero-shot-null-shot,65,63,1072,64.16666666666667,64.0,1200
gpt-4-turbo,anli,zero-shot-cot-null-shot-cot,191,136,873,52.166666666666664,47.583333333333336,1200
gpt-4-turbo,triviaqa,zero-shot-null-shot,18,10,972,85.39999999999999,84.6,1000
gpt-4-turbo,triviaqa,zero-shot-cot-null-shot-cot,16,7,977,86.2,85.3,1000
gpt-4-turbo,halueval-summarization,zero-shot-null-shot,400,385,9215,75.56,75.41,10000
gpt-4-turbo,race-m,zero-shot-null-shot,26,30,1380,92.96657381615599,93.24512534818942,1436
gpt-4-turbo,race-m,zero-shot-cot-null-shot-cot,283,225,928,71.58774373259052,67.54874651810584,1436
gpt-4-turbo,strategyqa,zero-shot-null-shot,392,94,1804,74.8471615720524,61.83406113537118,2290
gpt-4-turbo,strategyqa,zero-shot-cot-null-shot-cot,329,295,1666,63.44978165938865,61.9650655021834,2290
gpt-4-turbo,winogrande,zero-shot-null-shot,314,90,863,73.48066298342542,55.80110497237569,1267
gpt-4-turbo,winogrande,zero-shot-cot-null-shot-cot,158,321,788,51.93370165745856,64.79873717442779,1267
gpt-4-turbo,math-pre-algebra,zero-shot-null-shot,67,62,742,72.33065442020667,71.75660160734787,871
gpt-4-turbo,math-pre-algebra,zero-shot-cot-null-shot-cot,67,51,753,72.78989667049368,70.95292766934558,871
gpt-4-turbo,math-int-algebra,zero-shot-null-shot,85,72,746,35.326688815060905,33.88704318936877,903
gpt-4-turbo,math-int-algebra,zero-shot-cot-null-shot-cot,64,79,760,33.99778516057586,35.65891472868217,903
gpt-4-turbo,gsm8k,zero-shot-null-shot,52,37,1230,74.29871114480667,73.1614859742229,1319
gpt-4-turbo,gsm8k,zero-shot-cot-null-shot-cot,49,38,1232,74.45034116755117,73.61637604245641,1319
gpt-4-turbo,aqua,zero-shot-null-shot,15,14,225,75.98425196850394,75.59055118110236,254
gpt-4-turbo,aqua,zero-shot-cot-null-shot-cot,14,18,222,75.59055118110236,77.16535433070865,254
gpt-4-turbo,halueval-qa,zero-shot-null-shot,932,626,8442,71.76,68.7,10000
gpt-4-turbo,race-h,zero-shot-null-shot,76,89,3333,88.5934819897084,88.96512292738707,3498
gpt-4-turbo,race-h,zero-shot-cot-null-shot-cot,763,578,2157,61.74957118353345,56.460834762721554,3498
gpt-4-turbo,halueval-general,zero-shot-null-shot,55,54,4398,81.11826048369204,81.09607277568227,4507
gpt-4-turbo,halueval-dialogue,zero-shot-null-shot,284,318,9398,75.94,76.28,10000
