model,task,method,Correct,Incorrect,Empty
palm-2-chat,gsm8k,zero-shot-cot,768,548,3
palm-2-chat,gsm8k,null-shot,727,588,4
palm-2-chat,aqua,zero-shot,38,215,1
palm-2-chat,aqua,null-shot-cot,32,222,0
palm-2-chat,aqua,zero-shot-cot,34,220,0
palm-2-chat,aqua,null-shot,40,214,0
palm-2-chat,race-h,zero-shot,2345,1024,129
palm-2-chat,race-h,null-shot-cot,2293,1073,132
palm-2-chat,race-h,zero-shot-cot,2275,1097,126
palm-2-chat,race-h,null-shot,2361,1048,89
palm-2-text,anli,zero-shot,590,504,106
palm-2-text,anli,null-shot-cot,585,511,104
palm-2-text,anli,zero-shot-cot,590,509,101
palm-2-text,anli,null-shot,606,547,47
palm-2-text,triviaqa,zero-shot,642,256,102
palm-2-text,triviaqa,null-shot-cot,637,309,54
palm-2-text,triviaqa,zero-shot-cot,667,266,67
palm-2-text,triviaqa,null-shot,687,285,28
palm-2-text,race-m,zero-shot,1187,151,98
palm-2-text,race-m,null-shot-cot,1185,157,94
palm-2-text,race-m,zero-shot-cot,1020,295,121
palm-2-text,race-m,null-shot,1209,155,72
palm-2-text,strategyqa,zero-shot,1370,556,364
palm-2-text,strategyqa,null-shot-cot,1359,755,176
palm-2-text,strategyqa,zero-shot-cot,1436,532,322
palm-2-text,strategyqa,null-shot,1520,695,75
palm-2-text,winogrande,zero-shot,921,222,124
palm-2-text,winogrande,null-shot-cot,963,254,50
palm-2-text,winogrande,zero-shot-cot,810,336,121
palm-2-text,winogrande,null-shot,1014,242,11
palm-2-text,gsm8k,zero-shot,195,1071,53
palm-2-text,gsm8k,null-shot-cot,574,733,12
palm-2-text,gsm8k,zero-shot-cot,794,510,15
palm-2-text,gsm8k,null-shot,217,1097,5
palm-2-text,aqua,zero-shot,74,174,6
palm-2-text,aqua,null-shot-cot,41,207,6
palm-2-text,aqua,zero-shot-cot,90,157,7
palm-2-text,aqua,null-shot,72,182,0
palm-2-text,race-h,zero-shot,2503,463,532
palm-2-text,race-h,null-shot-cot,2527,510,461
palm-2-text,race-h,zero-shot-cot,2103,843,552
palm-2-text,race-h,null-shot,2594,509,395
gemini-pro-text,anli,zero-shot,607,570,23
gemini-pro-text,anli,null-shot-cot,539,644,17
gemini-pro-text,anli,zero-shot-cot,580,602,18
gemini-pro-text,anli,null-shot,620,574,6
gemini-pro-text,triviaqa,zero-shot,702,241,57
gemini-pro-text,triviaqa,null-shot-cot,9,974,17
gemini-pro-text,triviaqa,zero-shot-cot,616,342,42
gemini-pro-text,triviaqa,null-shot,253,724,23
gemini-pro-text,race-m,zero-shot,1192,166,78
gemini-pro-text,race-m,null-shot-cot,1158,195,83
gemini-pro-text,race-m,zero-shot-cot,1194,151,91
gemini-pro-text,race-m,null-shot,1215,161,60
gemini-pro-text,strategyqa,zero-shot,1535,648,107
gemini-pro-text,strategyqa,null-shot-cot,24,2191,75
gemini-pro-text,strategyqa,zero-shot-cot,1521,690,79
gemini-pro-text,strategyqa,null-shot,1160,1075,55
gemini-pro-text,winogrande,zero-shot,809,414,44
gemini-pro-text,winogrande,null-shot-cot,3,1248,16
gemini-pro-text,winogrande,zero-shot-cot,796,431,40
gemini-pro-text,winogrande,null-shot,798,438,31
gemini-pro-text,gsm8k,zero-shot,680,596,43
gemini-pro-text,gsm8k,null-shot-cot,820,493,6
gemini-pro-text,gsm8k,zero-shot-cot,911,394,14
gemini-pro-text,gsm8k,null-shot,877,435,7
gemini-pro-text,aqua,zero-shot,65,186,3
gemini-pro-text,aqua,null-shot-cot,128,125,1
gemini-pro-text,aqua,zero-shot-cot,118,136,0
gemini-pro-text,aqua,null-shot,90,163,1
gemini-pro-text,race-h,zero-shot,2722,559,217
gemini-pro-text,race-h,null-shot-cot,2716,598,184
gemini-pro-text,race-h,zero-shot-cot,2745,530,223
gemini-pro-text,race-h,null-shot,2780,556,162
